Matricula,Carrera,EstatusAlumno,CuatrimestreActual,Materia,Periodo,EstatusMateria,Final,Extr,EstatusCardex,PeriodoCursado,PlanEstudiosClave,Credito
IBM20210004,Ingeniería Biomédica,Activo,8,Normatividad Sanitaria,2023-1,Aprobada,90.0,,Ordinario,2023-1,IBM-2020,5
IDS20220005,Ingeniería en Desarrollo de Software,Irregular,8,Arquitecturas Empresariales,2022-2,Reprobada,36.7,,Sin derecho,2022-2,IDS-2020,6
IDS20220005,Ingeniería en Desarrollo de Software,Irregular,8,Fundamentos de Programación,2025-1,Reprobada,27.9,,Recursamiento,2025-1,IDS-2020,7
IDS20220005,Ingeniería en Desarrollo de Software,Irregular,8,Seguridad Informática,2023-1,Reprobada,36.6,68.3,Extraordinario no acreditado,2023-1,IDS-2020,6
IDS20220005,Ingeniería en Desarrollo de Software,Irregular,8,Estructuras de Datos,2024-1,Reprobada,56.0,,Recursamiento,2024-1,IDS-2020,7
IDS20220005,Ingeniería en Desarrollo de Software,Irregular,8,Probabilidad y Estadística,2024-2,Reprobada,51.5,,Recursamiento,2024-2,IDS-2020,5
IDS20220005,Ingeniería en Desarrollo de Software,Irregular,8,Comunicación Oral y Escrita,2025-1,Aprobada,73.1,,Ordinario,2025-1,IDS-2020,4
IDS20220005,Ingeniería en Desarrollo de Software,Irregular,8,Inglés IV,2024-1,Reprobada,39.7,68.9,Extraordinario no acreditado,2024-1,IDS-2020,4
IDS20220005,Ingeniería en Desarrollo de Software,Irregular,8,Bases de Datos II,2024-2,Aprobada,48.8,74.4,Extraordinario,2024-2,IDS-2020,6
IBM20230006,Ingeniería Biomédica,Activo,2,Anatomía y Fisiología I,2022-1,Aprobada,71.2,,Ordinario,2022-1,IBM-2020,7
IBM20230006,Ingeniería Biomédica,Activo,2,Biología Celular,2022-2,Aprobada,73.8,,Ordinario,2022-2,IBM-2020,6
IBM20230006,Ingeniería Biomédica,Activo,2,Introducción a la Ingeniería Biomédica,2022-1,Aprobada,74.1,,Ordinario,2022-1,IBM-2020,4
IBM20230006,Ingeniería Biomédica,Activo,2,Química General,2022-2,Aprobada,83.5,,Ordinario,2022-2,IBM-2020,6
IAG20200007,Ingeniería Agroindustrial,Activo,7,Bioprocesos,2022-1,Aprobada,81.8,,Ordinario,2022-1,IAG-2020,6
IAG20200007,Ingeniería Agroindustrial,Activo,7,Proyecto Agroindustrial I,2022-1,Aprobada,84.4,,Ordinario,2022-1,IAG-2020,8
IAG20200007,Ingeniería Agroindustrial,Activo,7,Biología,2025-1,Aprobada,84.9,,Ordinario,2025-1,IAG-2020,6
IAG20200007,Ingeniería Agroindustrial,Activo,7,Envases y Embalajes,2023-1,Aprobada,91.1,,Ordinario,2023-1,IAG-2020,5
IEN20200008,Ingeniería en Energía,Activo,4,Termodinámica II,2022-1,Cursando,,,En curso,2022-1,IEN-2020,7
IEN20200008,Ingeniería en Energía,Activo,4,Inglés III,2023-1,Aprobada,82.1,,Ordinario,2023-1,IEN-2020,4
IEN20200008,Ingeniería en Energía,Activo,4,Estadística,2023-1,Aprobada,73.2,,Ordinario,2023-1,IEN-2020,5
IEN20220009,Ingeniería en Energía,Activo,2,Física I,2022-2,Aprobada,71.8,,Ordinario,2022-2,IEN-2020,6
IEN20220009,Ingeniería en Energía,Activo,2,Inglés II,2022-2,Cursando,,,En curso,2022-2,IEN-2020,4
IEN20220009,Ingeniería en Energía,Activo,2,Circuitos Eléctricos,2022-1,Cursando,,,En curso,2022-1,IEN-2020,6
IEN20220009,Ingeniería en Energía,Activo,2,Química General,2022-2,Reprobada,53.5,62.8,Extraordinario no acreditado,2022-2,IEN-2020,6
IBM20200010,Ingeniería Biomédica,Activo,3,Anatomía y Fisiología I,2022-2,Aprobada,70.0,,Ordinario,2022-2,IBM-2020,7
IBM20200010,Ingeniería Biomédica,Activo,3,Inglés II,2022-1,Aprobada,71.5,,Ordinario,2022-1,IBM-2020,4
IBM20200010,Ingeniería Biomédica,Activo,3,Introducción a la Ingeniería Biomédica,2023-2,Aprobada,73.0,,Ordinario,2023-2,IBM-2020,4
IEN20210011,Ingeniería en Energía,Irregular,7,Control de Sistemas,2022-1,Aprobada,71.9,,Ordinario,2022-1,IEN-2020,6
IEN20210011,Ingeniería en Energía,Irregular,7,Auditoría Energética,2022-2,Aprobada,70.6,,Ordinario,2022-2,IEN-2020,6
IEN20210011,Ingeniería en Energía,Irregular,7,Introducción a la Energía,2025-1,Aprobada,74.2,,Ordinario,2025-1,IEN-2020,4
IEN20210011,Ingeniería en Energía,Irregular,7,Física II,2024-2,Aprobada,76.0,,Ordinario,2024-2,IEN-2020,6
IEN20210011,Ingeniería en Energía,Irregular,7,Energía Eólica,2023-2,Aprobada,62.9,70.8,Extraordinario,2023-2,IEN-2020,6
IEN20210011,Ingeniería en Energía,Irregular,7,Física I,2025-1,Aprobada,88.3,,Ordinario,2025-1,IEN-2020,6
IEN20210011,Ingeniería en Energía,Irregular,7,Cálculo Integral,2024-2,Aprobada,87.4,,Ordinario,2024-2,IEN-2020,6
IEN20210011,Ingeniería en Energía,Irregular,7,Inglés II,2024-2,Aprobada,85.5,,Ordinario,2024-2,IEN-2020,4
IEN20210011,Ingeniería en Energía,Irregular,7,Inglés III,2024-1,Aprobada,86.6,,Ordinario,2024-1,IEN-2020,4
IDS20200012,Ingeniería en Desarrollo de Software,Activo,6,Programación Orientada a Objetos,2023-2,Aprobada,97.5,,Ordinario,2023-2,IDS-2020,7
IDS20200012,Ingeniería en Desarrollo de Software,Activo,6,Gestión de Proyectos,2022-2,Aprobada,72.4,,Ordinario,2022-2,IDS-2020,5
IDS20200012,Ingeniería en Desarrollo de Software,Activo,6,Programación Estructurada,2024-1,Aprobada,77.3,,Ordinario,2024-1,IDS-2020,7
IDS20200012,Ingeniería en Desarrollo de Software,Activo,6,Aplicaciones Móviles,2022-1,Reprobada,68.1,,Ordinario no acreditado,2022-1,IDS-2020,7
IDS20200012,Ingeniería en Desarrollo de Software,Activo,6,Comunicación Oral y Escrita,2025-1,Aprobada,92.5,,Ordinario,2025-1,IDS-2020,4
IDS20200012,Ingeniería en Desarrollo de Software,Activo,6,Pruebas de Software,2022-1,Cursando,,,En curso,2022-1,IDS-2020,5
IDS20200012,Ingeniería en Desarrollo de Software,Activo,6,Álgebra Lineal,2024-2,Aprobada,75.4,,Ordinario,2024-2,IDS-2020,6
IDS20200012,Ingeniería en Desarrollo de Software,Activo,6,Arquitectura de Software,2023-1,Aprobada,84.1,,Ordinario,2023-1,IDS-2020,6
IDS20200012,Ingeniería en Desarrollo de Software,Activo,6,Inglés I,2025-1,Aprobada,80.9,,Ordinario,2025-1,IDS-2020,4
IBM20230013,Ingeniería Biomédica,Egresado,9,Inglés II,2025-1,Aprobada,79.9,,Ordinario,2025-1,IBM-2020,4
IBM20230013,Ingeniería Biomédica,Egresado,9,Biología Celular,2025-1,Aprobada,83.9,,Ordinario,2025-1,IBM-2020,6
IBM20230013,Ingeniería Biomédica,Egresado,9,Inglés I,2025-1,Aprobada,79.1,,Ordinario,2025-1,IBM-2020,4
IDS20220014,Ingeniería en Desarrollo de Software,Activo,4,Probabilidad y Estadística,2023-1,Reprobada,63.1,,Recursamiento,2023-1,IDS-2020,5
IDS20220014,Ingeniería en Desarrollo de Software,Activo,4,Introducción a la Ingeniería,2023-2,Aprobada,59.1,73.6,Extraordinario,2023-2,IDS-2020,4
IDS20220014,Ingeniería en Desarrollo de Software,Activo,4,Inglés IV,2022-1,Aprobada,71.8,,Ordinario,2022-1,IDS-2020,4
IDS20220014,Ingeniería en Desarrollo de Software,Activo,4,Inglés III,2022-1,Aprobada,79.2,,Ordinario,2022-1,IDS-2020,4
IEN20220015,Ingeniería en Energía,Activo,7,Álgebra Lineal,2025-1,Aprobada,82.9,,Ordinario,2025-1,IEN-2020,6
IEN20220015,Ingeniería en Energía,Activo,7,Inglés II,2025-1,Aprobada,69.7,75.2,Extraordinario,2025-1,IEN-2020,4
IEN20220015,Ingeniería en Energía,Activo,7,Auditoría Energética,2022-2,Aprobada,93.3,,Ordinario,2022-2,IEN-2020,6
IEN20220015,Ingeniería en Energía,Activo,7,Introducción a la Energía,2025-1,Aprobada,83.3,,Ordinario,2025-1,IEN-2020,4
IEN20220015,Ingeniería en Energía,Activo,7,Física II,2025-1,Aprobada,74.0,,Ordinario,2025-1,IEN-2020,6
IEN20220015,Ingeniería en Energía,Activo,7,Inglés IV,2023-2,Aprobada,87.9,,Ordinario,2023-2,IEN-2020,4
IEN20220015,Ingeniería en Energía,Activo,7,Química General,2024-2,Reprobada,66.8,64.6,Extraordinario no acreditado,2024-2,IEN-2020,6
IEN20230016,Ingeniería en Energía,Activo,7,Química General,2025-1,Aprobada,73.1,,Ordinario,2025-1,IEN-2020,6
IEN20230016,Ingeniería en Energía,Activo,7,Cálculo Diferencial,2024-1,Aprobada,84.9,,Ordinario,2024-1,IEN-2020,6
IEN20230016,Ingeniería en Energía,Activo,7,Energía Solar,2023-2,Aprobada,76.9,,Ordinario,2023-2,IEN-2020,6
IEN20230016,Ingeniería en Energía,Activo,7,Álgebra Lineal,2024-2,Aprobada,79.7,,Ordinario,2024-2,IEN-2020,6
IEN20230016,Ingeniería en Energía,Activo,7,Máquinas Eléctricas,2024-1,Reprobada,62.5,,Ordinario no acreditado,2024-1,IEN-2020,6
IEN20230016,Ingeniería en Energía,Activo,7,Mercados de Energía,2022-2,Aprobada,76.1,,Ordinario,2022-2,IEN-2020,5
IEN20230016,Ingeniería en Energía,Activo,7,Inglés III,2024-1,Aprobada,81.9,,Ordinario,2024-1,IEN-2020,4
IEN20230016,Ingeniería en Energía,Activo,7,Modelado Energético,2022-1,Cursando,,,En curso,2022-1,IEN-2020,6
IBM20200017,Ingeniería Biomédica,Baja Temporal,6,Álgebra Lineal,2024-1,Aprobada,76.8,,Ordinario,2024-1,IBM-2020,6
IBM20200017,Ingeniería Biomédica,Baja Temporal,6,Señales Biomédicas,2023-2,Aprobada,60.6,73.1,Extraordinario,2023-2,IBM-2020,6
IBM20200017,Ingeniería Biomédica,Baja Temporal,6,Cálculo Diferencial,2024-1,Aprobada,73.4,,Ordinario,2024-1,IBM-2020,6
IBM20200017,Ingeniería Biomédica,Baja Temporal,6,Dispositivos Médicos,2022-1,Aprobada,73.6,,Ordinario,2022-1,IBM-2020,7
IBM20200017,Ingeniería Biomédica,Baja Temporal,6,Normatividad Sanitaria,2022-2,Aprobada,76.0,,Ordinario,2022-2,IBM-2020,5
IDS20230018,Ingeniería en Desarrollo de Software,Activo,1,Inglés I,2022-1,Cursando,,,En curso,2022-1,IDS-2020,4
IDS20230018,Ingeniería en Desarrollo de Software,Activo,1,Fundamentos de Programación,2022-1,Aprobada,78.4,,Ordinario,2022-1,IDS-2020,7
IDS20230018,Ingeniería en Desarrollo de Software,Activo,1,Comunicación Oral y Escrita,2022-1,Cursando,,,En curso,2022-1,IDS-2020,4
IEN20200019,Ingeniería en Energía,Activo,3,Cálculo Integral,2022-2,Aprobada,57.4,78.3,Extraordinario,2022-2,IEN-2020,6
IEN20200019,Ingeniería en Energía,Activo,3,Máquinas Eléctricas,2022-1,Aprobada,76.4,,Ordinario,2022-1,IEN-2020,6
IEN20200019,Ingeniería en Energía,Activo,3,Estadística,2022-2,Aprobada,54.9,74.6,Extraordinario,2022-2,IEN-2020,5
IEN20200019,Ingeniería en Energía,Activo,3,Introducción a la Energía,2023-2,Aprobada,63.8,87.2,Extraordinario,2023-2,IEN-2020,4
IEN20200019,Ingeniería en Energía,Activo,3,Física I,2023-1,Reprobada,69.4,,Ordinario no acreditado,2023-1,IEN-2020,6
IEN20200019,Ingeniería en Energía,Activo,3,Inglés III,2022-1,Cursando,,,En curso,2022-1,IEN-2020,4
IEN20230020,Ingeniería en Energía,Irregular,6,Transferencia de Calor,2023-1,Aprobada,72.9,,Ordinario,2023-1,IEN-2020,6
IEN20230020,Ingeniería en Energía,Irregular,6,Máquinas Eléctricas,2023-2,Aprobada,75.8,,Ordinario,2023-2,IEN-2020,6
IEN20230020,Ingeniería en Energía,Irregular,6,Introducción a la Energía,2024-1,Aprobada,77.6,,Ordinario,2024-1,IEN-2020,4
IEN20230021,Ingeniería en Energía,Activo,4,Física I,2023-2,Aprobada,76.0,,Ordinario,2023-2,IEN-2020,6
IEN20230021,Ingeniería en Energía,Activo,4,Energía Eólica,2022-1,Cursando,,,En curso,2022-1,IEN-2020,6
IEN20230021,Ingeniería en Energía,Activo,4,Termodinámica II,2022-1,Aprobada,79.7,,Ordinario,2022-1,IEN-2020,7
IEN20230021,Ingeniería en Energía,Activo,4,Energía Solar,2022-1,Cursando,,,En curso,2022-1,IEN-2020,6
IEN20230021,Ingeniería en Energía,Activo,4,Inglés III,2022-1,Aprobada,78.1,,Ordinario,2022-1,IEN-2020,4
IEN20230021,Ingeniería en Energía,Activo,4,Inglés I,2023-1,Reprobada,68.3,68.8,Extraordinario no acreditado,2023-1,IEN-2020,4
IDS20230022,Ingeniería en Desarrollo de Software,Activo,6,Probabilidad y Estadística,2024-1,Aprobada,77.6,,Ordinario,2024-1,IDS-2020,5
IDS20230022,Ingeniería en Desarrollo de Software,Activo,6,Estructuras de Datos,2023-1,Aprobada,83.7,,Ordinario,2023-1,IDS-2020,7
IDS20230022,Ingeniería en Desarrollo de Software,Activo,6,Matemáticas Discretas,2023-1,Aprobada,86.2,,Ordinario,2023-1,IDS-2020,6
IDS20230022,Ingeniería en Desarrollo de Software,Activo,6,Inteligencia Artificial,2022-1,Cursando,,,En curso,2022-1,IDS-2020,6
IDS20230022,Ingeniería en Desarrollo de Software,Activo,6,Seguridad Informática,2022-2,Cursando,,,En curso,2022-2,IDS-2020,6
IEN20220023,Ingeniería en Energía,Activo,9,Química General,2025-1,Aprobada,78.7,,Ordinario,2025-1,IEN-2020,6
IEN20220023,Ingeniería en Energía,Activo,9,Estadía Profesional I,2023-2,Aprobada,88.8,,Ordinario,2023-2,IEN-2020,8
IEN20220023,Ingeniería en Energía,Activo,9,Energía Eólica,2024-2,Aprobada,85.6,,Ordinario,2024-2,IEN-2020,6
IEN20220023,Ingeniería en Energía,Activo,9,Auditoría Energética,2023-2,Aprobada,76.8,,Ordinario,2023-2,IEN-2020,6
IAG20230024,Ingeniería Agroindustrial,Activo,6,Gestión Ambiental,2022-2,Reprobada,68.6,,Sin derecho,2022-2,IAG-2020,5
IAG20230024,Ingeniería Agroindustrial,Activo,6,Microbiología,2024-1,Aprobada,79.2,,Ordinario,2024-1,IAG-2020,6
IAG20230024,Ingeniería Agroindustrial,Activo,6,Bioprocesos,2022-1,Cursando,,,En curso,2022-1,IAG-2020,6
IAG20230024,Ingeniería Agroindustrial,Activo,6,Conservación de Alimentos,2024-1,Aprobada,79.8,,Ordinario,2024-1,IAG-2020,6
IAG20230024,Ingeniería Agroindustrial,Activo,6,Termodinámica,2023-2,Aprobada,77.9,,Ordinario,2023-2,IAG-2020,6
IAG20230024,Ingeniería Agroindustrial,Activo,6,Operaciones Unitarias II,2023-1,Aprobada,78.1,,Ordinario,2023-1,IAG-2020,7
IAG20230024,Ingeniería Agroindustrial,Activo,6,Estadística,2024-2,Aprobada,89.6,,Ordinario,2024-2,IAG-2020,5
IAG20230024,Ingeniería Agroindustrial,Activo,6,Envases y Embalajes,2023-1,Aprobada,74.9,,Ordinario,2023-1,IAG-2020,5
IBM20230025,Ingeniería Biomédica,Activo,7,Telemedicina,2022-1,Aprobada,71.1,,Ordinario,2022-1,IBM-2020,6
IBM20230025,Ingeniería Biomédica,Activo,7,Química Orgánica,2024-1,Aprobada,82.9,,Ordinario,2024-1,IBM-2020,6
IBM20230025,Ingeniería Biomédica,Activo,7,Bioinstrumentación I,2024-1,Aprobada,81.6,,Ordinario,2024-1,IBM-2020,7
IBM20230025,Ingeniería Biomédica,Activo,7,Imágenes Médicas,2023-2,Aprobada,73.4,,Ordinario,2023-2,IBM-2020,7
IBM20230025,Ingeniería Biomédica,Activo,7,Inglés III,2024-1,Aprobada,90.6,,Ordinario,2024-1,IBM-2020,4
IBM20230025,Ingeniería Biomédica,Activo,7,Mantenimiento Hospitalario,2023-1,Aprobada,71.7,,Ordinario,2023-1,IBM-2020,6
IDS20200026,Ingeniería en Desarrollo de Software,Activo,9,Estadía Profesional II,2022-2,Reprobada,65.0,65.1,Extraordinario no acreditado,2022-2,IDS-2020,8
IDS20200026,Ingeniería en Desarrollo de Software,Activo,9,Matemáticas Discretas,2024-2,Aprobada,56.9,76.1,Extraordinario,2024-2,IDS-2020,6
IDS20200026,Ingeniería en Desarrollo de Software,Activo,9,Residencia Profesional,2022-1,Cursando,,,En curso,2022-1,IDS-2020,12
IDS20200026,Ingeniería en Desarrollo de Software,Activo,9,Inglés I,2025-1,Aprobada,46.5,76.9,Extraordinario,2025-1,IDS-2020,4
IDS20200026,Ingeniería en Desarrollo de Software,Activo,9,Arquitectura de Software,2024-2,Aprobada,74.3,,Ordinario,2024-2,IDS-2020,6
IDS20200026,Ingeniería en Desarrollo de Software,Activo,9,Analítica de Datos,2023-2,Aprobada,85.5,,Ordinario,2023-2,IDS-2020,6
IDS20200026,Ingeniería en Desarrollo de Software,Activo,9,Introducción a la Ingeniería,2025-1,Reprobada,59.6,,Recursamiento,2025-1,IDS-2020,4
IEN20240027,Ingeniería en Energía,Activo,8,Inglés II,2025-1,Aprobada,82.8,,Ordinario,2025-1,IEN-2020,4
IEN20240027,Ingeniería en Energía,Activo,8,Proyecto Energético I,2022-2,Aprobada,70.5,,Ordinario,2022-2,IEN-2020,8
IEN20240027,Ingeniería en Energía,Activo,8,Emprendimiento,2022-2,Cursando,,,En curso,2022-2,IEN-2020,4
IEN20240027,Ingeniería en Energía,Activo,8,Estadía Profesional II,2022-1,Cursando,,,En curso,2022-1,IEN-2020,8
IEN20240027,Ingeniería en Energía,Activo,8,Termodinámica II,2024-1,Aprobada,92.5,,Ordinario,2024-1,IEN-2020,7
IDS20220028,Ingeniería en Desarrollo de Software,Activo,8,Minería de Datos,2022-2,Aprobada,86.2,,Ordinario,2022-2,IDS-2020,6
IDS20220028,Ingeniería en Desarrollo de Software,Activo,8,UX/UI,2022-2,Aprobada,95.6,,Ordinario,2022-2,IDS-2020,4
IDS20220028,Ingeniería en Desarrollo de Software,Activo,8,Cálculo Integral,2025-1,Aprobada,88.1,,Ordinario,2025-1,IDS-2020,6
IDS20220028,Ingeniería en Desarrollo de Software,Activo,8,Comunicación Oral y Escrita,2025-1,Aprobada,90.6,,Ordinario,2025-1,IDS-2020,4
IAG20200029,Ingeniería Agroindustrial,Activo,3,Inglés III,2022-1,Aprobada,75.2,,Ordinario,2022-1,IAG-2020,4
IAG20200029,Ingeniería Agroindustrial,Activo,3,Dibujo Industrial,2022-1,Reprobada,69.9,58.6,Extraordinario no acreditado,2022-1,IAG-2020,4
IAG20200029,Ingeniería Agroindustrial,Activo,3,Inglés I,2022-2,Aprobada,82.9,,Ordinario,2022-2,IAG-2020,4
IAG20200029,Ingeniería Agroindustrial,Activo,3,Inglés II,2022-2,Aprobada,79.5,,Ordinario,2022-2,IAG-2020,4
IAG20200029,Ingeniería Agroindustrial,Activo,3,Microbiología,2022-2,Aprobada,89.0,,Ordinario,2022-2,IAG-2020,6
IAG20200029,Ingeniería Agroindustrial,Activo,3,Bioquímica,2022-1,Cursando,,,En curso,2022-1,IAG-2020,6
IAG20230030,Ingeniería Agroindustrial,Activo,8,Administración de la Producción,2022-2,Reprobada,69.4,66.4,Extraordinario no acreditado,2022-2,IAG-2020,5
IAG20230030,Ingeniería Agroindustrial,Activo,8,Gestión Ambiental,2024-1,Reprobada,69.4,,Sin derecho,2024-1,IAG-2020,5
IAG20230030,Ingeniería Agroindustrial,Activo,8,Estadística,2025-1,Aprobada,96.6,,Ordinario,2025-1,IAG-2020,5
IAG20240031,Ingeniería Agroindustrial,Activo,6,Inglés II,2024-1,Aprobada,77.3,,Ordinario,2024-1,IAG-2020,4
IAG20240031,Ingeniería Agroindustrial,Activo,6,Control de Calidad,2023-1,Reprobada,67.7,,Sin derecho,2023-1,IAG-2020,6
IAG20240031,Ingeniería Agroindustrial,Activo,6,Álgebra Lineal,2024-1,Aprobada,95.8,,Ordinario,2024-1,IAG-2020,6
IAG20240031,Ingeniería Agroindustrial,Activo,6,Introducción a la Agroindustria,2024-1,Aprobada,71.5,,Ordinario,2024-1,IAG-2020,4
IEN20200032,Ingeniería en Energía,Activo,8,Termodinámica I,2024-2,Aprobada,89.5,,Ordinario,2024-2,IEN-2020,7
IEN20200032,Ingeniería en Energía,Activo,8,Circuitos Eléctricos,2025-1,Aprobada,87.9,,Ordinario,2025-1,IEN-2020,6
IEN20200032,Ingeniería en Energía,Activo,8,Inglés III,2024-2,Aprobada,89.7,,Ordinario,2024-2,IEN-2020,4
IDS20210033,Ingeniería en Desarrollo de Software,Activo,4,Inglés II,2023-1,Aprobada,79.9,,Ordinario,2023-1,IDS-2020,4
IDS20210033,Ingeniería en Desarrollo de Software,Activo,4,Ingeniería de Software,2022-1,Aprobada,86.7,,Ordinario,2022-1,IDS-2020,6
IDS20210033,Ingeniería en Desarrollo de Software,Activo,4,Programación Orientada a Objetos,2023-1,Aprobada,72.5,,Ordinario,2023-1,IDS-2020,7
IDS20210033,Ingeniería en Desarrollo de Software,Activo,4,Matemáticas Discretas,2022-1,Cursando,,,En curso,2022-1,IDS-2020,6
IDS20210033,Ingeniería en Desarrollo de Software,Activo,4,Programación Estructurada,2022-2,Aprobada,81.5,,Ordinario,2022-2,IDS-2020,7
IDS20210033,Ingeniería en Desarrollo de Software,Activo,4,Fundamentos de Programación,2024-1,Aprobada,82.7,,Ordinario,2024-1,IDS-2020,7
IDS20220034,Ingeniería en Desarrollo de Software,Activo,7,Aplicaciones Móviles,2023-1,Aprobada,81.1,,Ordinario,2023-1,IDS-2020,7
IDS20220034,Ingeniería en Desarrollo de Software,Activo,7,Arquitectura de Software,2023-1,Aprobada,83.4,,Ordinario,2023-1,IDS-2020,6
IDS20220034,Ingeniería en Desarrollo de Software,Activo,7,Inglés IV,2023-2,Aprobada,72.8,,Ordinario,2023-2,IDS-2020,4
IEN20210035,Ingeniería en Energía,Activo,3,Inglés I,2023-1,Aprobada,76.9,,Ordinario,2023-1,IEN-2020,4
IEN20210035,Ingeniería en Energía,Activo,3,Álgebra Lineal,2023-2,Aprobada,81.4,,Ordinario,2023-2,IEN-2020,6
IEN20210035,Ingeniería en Energía,Activo,3,Introducción a la Energía,2023-1,Aprobada,80.7,,Ordinario,2023-1,IEN-2020,4
IEN20210035,Ingeniería en Energía,Activo,3,Química General,2022-2,Aprobada,73.5,,Ordinario,2022-2,IEN-2020,6
IEN20210035,Ingeniería en Energía,Activo,3,Inglés III,2022-1,Cursando,,,En curso,2022-1,IEN-2020,4
IEN20210035,Ingeniería en Energía,Activo,3,Física II,2022-2,Aprobada,83.2,,Ordinario,2022-2,IEN-2020,6
IDS20240036,Ingeniería en Desarrollo de Software,Irregular,2,Comunicación Oral y Escrita,2023-1,Aprobada,71.1,,Ordinario,2023-1,IDS-2020,4
IDS20240036,Ingeniería en Desarrollo de Software,Irregular,2,Inglés I,2022-2,Aprobada,73.8,,Ordinario,2022-2,IDS-2020,4
IDS20240036,Ingeniería en Desarrollo de Software,Irregular,2,Introducción a la Ingeniería,2022-2,Reprobada,65.2,,Recursamiento,2022-2,IDS-2020,4
IBM20240037,Ingeniería Biomédica,Activo,3,Cálculo Diferencial,2022-1,Reprobada,65.8,,Recursamiento,2022-1,IBM-2020,6
IBM20240037,Ingeniería Biomédica,Activo,3,Inglés III,2022-1,Aprobada,85.4,,Ordinario,2022-1,IBM-2020,4
IBM20240037,Ingeniería Biomédica,Activo,3,Probabilidad y Estadística,2022-2,Aprobada,80.1,,Ordinario,2022-2,IBM-2020,5
IDS20210038,Ingeniería en Desarrollo de Software,Irregular,2,Programación Estructurada,2022-1,Aprobada,75.4,,Ordinario,2022-1,IDS-2020,7
IDS20210038,Ingeniería en Desarrollo de Software,Irregular,2,Comunicación Oral y Escrita,2022-2,Aprobada,76.8,,Ordinario,2022-2,IDS-2020,4
IDS20210038,Ingeniería en Desarrollo de Software,Irregular,2,Inglés I,2022-2,Aprobada,86.7,,Ordinario,2022-2,IDS-2020,4
IAG20200039,Ingeniería Agroindustrial,Activo,9,Estadística,2025-1,Aprobada,93.9,,Ordinario,2025-1,IAG-2020,5
