id_estudiante,id_periodo,programa,cohorte,estatus_academico,promedio_general,promedio_periodo,porcentaje_avance,porcentaje_asistencia,retardos,num_asesorias,num_incidencias,recursamientos,rezago_materias,creditos_inscritos_periodo,creditos_aprobados_periodo,periodos_cursados,periodos_sin_inscripcion,materias_reprobadas_periodo,materias_reprobadas_acumuladas,materias_en_curso_periodo,tendencia_promedio,varianza_calificaciones,tutorias_abiertas,tutorias_cerradas,compromisos_pendientes,compromisos_cumplidos,permisos_aprobados,permisos_rechazados,bandera_dato_incompleto
IAG20200124,2022-2,Ingeniería Agroindustrial,2020,Irregular,77.1,77.1,1.45,71.96,0,1,0,0,2,4.0,4.0,1,5,0,0,0,0.0,8.06,0,1,0,1,3,0,0
IAG20200124,2023-1,Ingeniería Agroindustrial,2020,Irregular,72.35,67.6,1.45,56.22,1,1,2,0,3,5.0,0.0,2,5,1,1,0,-9.5,2.82,2,1,3,1,1,2,0
IAG20200124,2024-2,Ingeniería Agroindustrial,2020,Irregular,71.45,70.55,3.99,56.22,3,3,2,0,5,14.0,7.0,3,7,1,2,0,-1.8,11.22,2,1,3,1,1,1,0
IAG20200124,2025-1,Ingeniería Agroindustrial,2020,Irregular,76.33,86.1,8.33,63.17,3,2,0,0,5,12.0,12.0,4,7,0,2,0,14.65,19.36,1,2,1,2,1,0,0
IAG20200127,2023-1,Ingeniería Agroindustrial,2020,Irregular,85.33,85.33,9.06,72.75,3,0,0,0,3,25.0,25.0,1,6,0,0,0,0.0,9.49,1,2,1,3,1,1,0
IAG20200127,2024-1,Ingeniería Agroindustrial,2020,Irregular,84.88,84.0,12.68,68.4,2,0,0,0,3,10.0,10.0,2,7,0,0,0,-1.33,10.89,1,1,1,2,3,0,0
IAG20200127,2024-2,Ingeniería Agroindustrial,2020,Irregular,81.66,75.2,17.75,69.14,3,1,0,0,3,14.0,14.0,3,7,0,0,0,-9.68,1.82,1,2,1,3,2,1,0
IAG20200157,2022-1,Ingeniería Agroindustrial,2020,Regular,70.0,,0.0,66.78,2,2,0,0,2,4.0,0.0,1,4,0,0,1,,3.19,0,2,0,2,3,0,1
IAG20200157,2022-2,Ingeniería Agroindustrial,2020,Regular,77.3,77.3,3.62,70.54,0,2,0,0,2,10.0,10.0,2,4,0,0,0,0.0,7.29,0,2,0,2,2,0,0
IAG20200157,2023-1,Ingeniería Agroindustrial,2020,Regular,75.5,71.9,5.07,73.57,3,2,0,0,2,4.0,4.0,3,4,0,0,0,-5.4,2.86,0,2,0,2,0,0,0
IAG20200157,2023-2,Ingeniería Agroindustrial,2020,Regular,74.75,72.5,7.25,77.3,1,1,0,0,2,6.0,6.0,4,4,0,0,0,-3.0,8.49,0,2,0,2,1,0,0
IAG20200167,2022-2,Ingeniería Agroindustrial,2020,Regular,95.03,95.03,6.88,75.82,0,2,0,0,2,19.0,19.0,1,5,0,0,0,0.0,3.1,0,2,0,3,0,1,0
IAG20200171,2022-1,Ingeniería Agroindustrial,2020,Irregular,76.8,76.8,1.81,69.93,1,2,0,0,2,5.0,5.0,1,4,0,0,0,0.0,3.48,0,2,0,2,2,1,0
IAG20200171,2022-2,Ingeniería Agroindustrial,2020,Irregular,75.7,74.6,3.62,69.73,3,2,0,0,2,5.0,5.0,2,4,0,0,0,-2.2,6.75,0,1,0,1,3,0,0
IAG20200171,2023-2,Ingeniería Agroindustrial,2020,Irregular,68.97,55.5,3.62,54.97,3,4,2,1,2,5.0,0.0,3,5,1,1,0,-20.2,8.17,2,0,3,0,1,2,0
IAG20200171,2024-2,Ingeniería Agroindustrial,2020,Irregular,73.57,87.4,5.07,71.87,1,0,0,1,3,4.0,4.0,4,6,0,1,0,18.43,7.8,1,0,1,0,1,1,0
IAG20200171,2025-1,Ingeniería Agroindustrial,2020,Irregular,69.1,51.2,5.07,53.29,3,4,2,1,4,5.0,0.0,5,6,1,2,0,-22.37,4.93,3,1,3,1,4,1,0
IAG20200194,2022-1,Ingeniería Agroindustrial,2020,Regular,79.2,79.2,1.81,72.18,2,1,0,0,2,5.0,5.0,1,4,0,0,0,0.0,4.45,0,1,0,1,1,0,0
IAG20200194,2022-2,Ingeniería Agroindustrial,2020,Regular,87.85,96.5,3.99,80.2,1,1,0,0,2,6.0,6.0,2,4,0,0,0,17.3,6.26,0,1,0,1,2,0,0
IAG20200194,2023-2,Ingeniería Agroindustrial,2020,Regular,90.33,95.3,5.43,80.58,1,1,0,0,2,4.0,4.0,3,5,0,0,0,7.45,5.96,0,1,0,1,0,1,0
IAG20200249,2022-1,Ingeniería Agroindustrial,2020,Regular,70.0,,0.0,68.08,0,2,0,0,2,12.0,0.0,1,4,0,0,2,,8.97,0,1,0,1,1,1,1
IAG20200249,2023-1,Ingeniería Agroindustrial,2020,Irregular,57.5,57.5,0.0,59.45,1,4,2,0,3,4.0,0.0,2,5,1,1,0,0.0,7.13,2,0,3,0,2,1,0
IAG20200267,2022-1,Ingeniería Agroindustrial,2020,Regular,80.8,80.8,1.45,79.92,2,0,0,0,2,8.0,4.0,1,4,0,0,1,0.0,4.71,0,2,0,2,0,1,1
IAG20200267,2022-2,Ingeniería Agroindustrial,2020,Regular,80.8,,1.45,79.99,1,0,0,0,2,6.0,0.0,2,4,0,0,1,,8.75,0,2,0,2,1,1,1
IAG20200267,2023-1,Ingeniería Agroindustrial,2020,Regular,78.35,75.9,3.62,73.78,2,0,0,0,2,6.0,6.0,3,4,0,0,0,-4.9,4.18,0,2,0,2,2,0,0
IAG20200290,2022-2,Ingeniería Agroindustrial,2020,Regular,71.13,71.13,4.35,65.12,3,2,0,1,2,16.0,12.0,1,5,1,1,0,0.0,160.71,1,1,1,1,1,0,0
IAG20200290,2023-1,Ingeniería Agroindustrial,2020,Irregular,66.48,61.83,6.16,53.32,4,5,2,1,4,15.0,5.0,2,5,2,3,0,-9.3,216.4,3,1,3,1,1,1,0
IAG20200369,2022-1,Ingeniería Agroindustrial,2020,Regular,85.7,85.7,1.45,80.67,2,2,0,0,2,4.0,4.0,1,4,0,0,0,0.0,3.75,0,2,0,2,2,1,0
IAG20200369,2022-2,Ingeniería Agroindustrial,2020,Regular,87.0,88.3,3.26,77.72,0,0,0,0,2,5.0,5.0,2,4,0,0,0,2.6,7.05,0,2,0,2,1,1,0
IAG20200369,2024-1,Ingeniería Agroindustrial,2020,Irregular,84.1,78.3,5.8,69.1,1,2,0,0,3,7.0,7.0,3,6,0,0,0,-8.7,9.3,1,1,1,1,2,1,0
IAG20200369,2025-1,Ingeniería Agroindustrial,2020,Irregular,83.3,82.5,11.96,69.23,1,0,0,0,3,17.0,17.0,4,7,0,0,0,-1.6,131.55,1,3,1,4,1,1,0
IAG20200376,2022-1,Ingeniería Agroindustrial,2020,Irregular,76.2,76.2,2.17,69.47,1,0,0,0,2,6.0,6.0,1,4,0,0,0,0.0,8.54,0,0,0,0,1,1,0
IAG20200376,2022-2,Ingeniería Agroindustrial,2020,Irregular,75.4,75.13,6.88,67.01,1,3,0,0,3,20.0,13.0,2,4,1,1,0,-1.07,121.44,2,1,2,1,3,0,0
IAG20200376,2023-1,Ingeniería Agroindustrial,2020,Irregular,74.82,72.5,9.42,68.9,3,2,0,0,3,7.0,7.0,3,4,0,1,0,-2.9,8.5,1,1,1,1,2,1,0
IAG20210043,2022-1,Ingeniería Agroindustrial,2021,Regular,74.2,74.2,2.17,74.81,3,0,0,0,1,15.0,6.0,1,2,0,0,2,0.0,2.26,0,1,0,1,0,1,1
IAG20210043,2022-2,Ingeniería Agroindustrial,2021,Regular,81.95,89.7,4.35,86.17,1,0,0,0,1,6.0,6.0,2,2,0,0,0,15.5,2.09,0,2,0,2,2,1,0
IAG20210061,2022-1,Ingeniería Agroindustrial,2021,Regular,81.65,81.65,3.62,75.07,3,2,0,0,1,16.0,10.0,1,2,0,0,1,0.0,11.9,0,2,0,2,3,0,1
IAG20210083,2023-2,Ingeniería Agroindustrial,2021,Irregular,54.15,54.15,0.0,55.4,2,5,2,2,2,11.0,0.0,1,5,2,2,0,0.0,54.02,3,1,3,1,2,0,0
IAG20210083,2024-1,Ingeniería Agroindustrial,2021,Irregular,60.67,73.7,2.54,67.86,1,1,0,2,2,7.0,7.0,2,5,0,2,0,19.55,8.7,0,2,0,2,3,0,0
IAG20210083,2024-2,Ingeniería Agroindustrial,2021,Irregular,59.85,57.4,2.54,59.45,3,4,2,2,3,4.0,0.0,3,5,1,3,0,-3.27,8.24,2,1,3,1,1,1,0
IAG20210083,2025-1,Ingeniería Agroindustrial,2021,Irregular,51.82,19.7,2.54,42.16,3,8,2,2,4,6.0,0.0,4,5,1,4,0,-40.15,6.89,4,1,4,1,3,2,0
IAG20210108,2023-1,Ingeniería Agroindustrial,2021,Regular,71.7,71.7,2.17,74.25,2,0,0,0,2,6.0,6.0,1,4,0,0,0,0.0,4.36,0,1,0,1,3,0,0
IAG20210108,2023-2,Ingeniería Agroindustrial,2021,Regular,73.3,74.1,6.52,71.45,1,1,0,0,2,12.0,12.0,2,4,0,0,0,2.4,3.24,0,0,0,1,3,0,0
IAG20210108,2024-1,Ingeniería Agroindustrial,2021,Regular,74.93,79.8,9.06,77.09,3,1,0,0,2,7.0,7.0,3,4,0,0,0,6.5,3.33,0,2,0,2,0,0,0
IAG20210133,2022-1,Ingeniería Agroindustrial,2021,Regular,70.0,,0.0,76.15,1,2,0,0,1,10.0,0.0,1,2,0,0,2,,6.55,0,2,0,2,1,0,1
IAG20210133,2022-2,Ingeniería Agroindustrial,2021,Regular,76.35,76.35,3.62,74.77,0,2,0,0,1,10.0,10.0,2,2,0,0,0,0.0,14.82,0,2,0,2,1,0,0
IAG20210133,2023-1,Ingeniería Agroindustrial,2021,Regular,83.83,98.8,5.8,83.69,0,2,0,0,1,6.0,6.0,3,2,0,0,0,22.45,9.62,0,0,0,0,1,0,0
IAG20210138,2022-1,Ingeniería Agroindustrial,2021,Regular,79.1,79.1,3.62,84.03,2,1,0,0,1,10.0,10.0,1,2,0,0,0,0.0,37.21,0,2,0,2,1,0,0
IAG20210138,2022-2,Ingeniería Agroindustrial,2021,Regular,78.83,78.3,5.8,78.64,2,1,0,0,1,6.0,6.0,2,2,0,0,0,-0.8,7.24,0,0,0,0,2,0,0
IAG20210176,2022-1,Ingeniería Agroindustrial,2021,Irregular,58.2,58.2,0.0,61.74,3,3,0,0,2,13.0,0.0,1,2,1,1,1,0.0,3.89,2,2,2,2,1,1,1
IAG20210176,2022-2,Ingeniería Agroindustrial,2021,Irregular,58.2,,0.0,70.17,0,3,0,0,2,6.0,0.0,2,2,0,1,1,,4.54,1,2,1,2,2,1,1
IAG20210176,2023-1,Ingeniería Agroindustrial,2021,Irregular,69.8,81.4,2.17,74.93,1,1,0,0,2,6.0,6.0,3,2,0,1,0,23.2,7.9,0,1,0,1,3,0,0
IAG20210176,2023-2,Ingeniería Agroindustrial,2021,Regular,71.0,73.4,4.71,77.07,1,1,0,0,2,7.0,7.0,4,2,0,1,0,3.6,7.46,0,1,0,1,2,0,0
IAG20210176,2024-1,Ingeniería Agroindustrial,2021,Irregular,62.05,53.1,4.71,44.95,4,5,2,0,5,14.0,0.0,5,2,3,4,0,-17.9,34.46,5,0,5,0,2,1,0
IAG20210196,2022-1,Ingeniería Agroindustrial,2021,Irregular,62.4,62.4,0.0,65.6,2,3,0,0,2,6.0,0.0,1,2,1,1,0,0.0,6.38,2,1,2,1,1,0,0
IAG20210196,2022-2,Ingeniería Agroindustrial,2021,Irregular,71.05,79.7,1.81,77.17,1,0,0,0,2,5.0,5.0,2,2,0,1,0,17.3,9.78,0,1,0,1,2,0,0
IAG20210196,2023-1,Ingeniería Agroindustrial,2021,Irregular,76.27,86.7,3.99,80.16,0,1,0,0,2,6.0,6.0,3,2,0,1,0,15.65,9.5,0,0,0,0,2,0,0
IAG20210196,2023-2,Ingeniería Agroindustrial,2021,Irregular,79.2,83.6,7.61,81.43,1,0,0,0,2,10.0,10.0,4,2,0,1,0,7.33,23.04,0,1,0,2,2,1,0
IAG20210196,2024-1,Ingeniería Agroindustrial,2021,Irregular,77.96,74.85,11.23,71.33,3,0,0,0,2,10.0,10.0,5,2,0,1,0,-4.35,2.1,0,2,0,2,1,0,0
IAG20210215,2022-1,Ingeniería Agroindustrial,2021,Irregular,65.9,65.9,0.0,66.01,2,4,0,0,2,16.0,0.0,1,2,1,1,2,0.0,8.44,2,2,2,2,1,1,1
IAG20210238,2022-1,Ingeniería Agroindustrial,2021,Regular,74.1,74.1,2.9,81.13,2,2,0,0,1,8.0,8.0,1,2,0,0,0,0.0,5.18,0,1,0,1,2,1,0
IAG20210238,2022-2,Ingeniería Agroindustrial,2021,Regular,85.23,90.8,7.61,82.87,1,2,0,0,1,17.0,13.0,2,2,0,0,1,16.7,4.84,0,0,0,1,2,1,1
IAG20210238,2023-1,Ingeniería Agroindustrial,2021,Regular,83.17,77.0,9.42,78.46,2,0,0,0,1,5.0,5.0,3,2,0,0,0,-8.23,6.74,0,2,0,2,2,0,0
IAG20210238,2023-2,Ingeniería Agroindustrial,2021,Regular,81.3,73.8,11.96,81.45,0,2,0,0,1,7.0,7.0,4,2,0,0,0,-9.38,7.57,0,0,0,0,1,1,0
IAG20210238,2024-1,Ingeniería Agroindustrial,2021,Regular,80.6,77.1,13.77,78.49,1,2,0,0,1,5.0,5.0,5,2,0,0,0,-4.2,9.82,0,2,0,2,1,0,0
IAG20210238,2024-2,Ingeniería Agroindustrial,2021,Regular,79.43,72.4,15.94,76.09,3,0,0,0,1,6.0,6.0,6,2,0,0,0,-8.2,3.35,0,2,0,2,2,0,0
IAG20210315,2022-2,Ingeniería Agroindustrial,2021,Regular,82.2,82.2,1.45,82.64,0,2,0,0,1,4.0,4.0,1,3,0,0,0,0.0,4.22,0,0,0,0,2,1,0
IAG20210315,2023-1,Ingeniería Agroindustrial,2021,Regular,80.8,80.1,5.07,77.27,0,1,0,0,1,10.0,10.0,2,3,0,0,0,-2.1,0.25,0,2,0,2,0,0,0
IAG20210315,2023-2,Ingeniería Agroindustrial,2021,Regular,82.5,87.6,6.52,83.12,1,1,0,0,1,4.0,4.0,3,3,0,0,0,6.8,7.73,0,2,0,2,0,1,0
IAG20210316,2022-1,Ingeniería Agroindustrial,2021,Regular,76.85,76.85,4.35,78.17,2,2,0,0,1,12.0,12.0,1,2,0,0,0,0.0,0.06,0,0,0,1,0,1,0
IAG20210316,2022-2,Ingeniería Agroindustrial,2021,Regular,78.8,82.7,5.8,80.38,1,2,0,0,1,4.0,4.0,2,2,0,0,0,5.85,5.61,0,0,0,0,0,0,0
IAG20210339,2022-1,Ingeniería Agroindustrial,2021,Regular,71.6,71.6,1.81,72.66,1,2,0,0,1,11.0,5.0,1,2,0,0,1,0.0,4.99,0,0,0,0,2,1,1
IAG20210339,2023-1,Ingeniería Agroindustrial,2021,Irregular,54.23,45.55,1.81,48.52,3,7,2,0,3,10.0,0.0,2,3,2,2,0,-26.05,11.22,4,2,4,2,2,2,0
IAG20210339,2023-2,Ingeniería Agroindustrial,2021,Irregular,58.18,64.1,3.99,60.29,3,2,0,0,4,10.0,6.0,3,3,1,3,0,9.87,121.0,2,0,2,0,3,1,0
IAG20210339,2024-1,Ingeniería Agroindustrial,2021,Irregular,58.35,59.2,3.99,56.82,1,3,2,1,4,6.0,0.0,4,3,1,4,0,1.02,2.24,2,0,3,0,2,2,0
IAG20210339,2024-2,Ingeniería Agroindustrial,2021,Irregular,59.09,63.5,3.99,63.41,1,2,0,2,4,6.0,0.0,5,3,1,5,0,5.15,7.65,2,2,2,2,2,0,0
IAG20210345,2022-1,Ingeniería Agroindustrial,2021,Regular,70.0,,0.0,71.11,2,1,0,0,1,8.0,0.0,1,2,0,0,1,,3.31,0,1,0,1,3,1,1
IAG20210345,2023-1,Ingeniería Agroindustrial,2021,Regular,82.4,82.4,2.17,82.38,1,0,0,0,1,6.0,6.0,2,3,0,0,0,0.0,7.74,0,2,0,2,0,1,0
IAG20210345,2023-2,Ingeniería Agroindustrial,2021,Regular,83.35,84.3,3.62,77.45,0,1,0,0,1,4.0,4.0,3,3,0,0,0,1.9,5.45,0,2,0,2,1,0,0
IAG20210355,2022-2,Ingeniería Agroindustrial,2021,Regular,90.8,90.8,2.9,83.48,1,0,0,0,1,8.0,8.0,1,3,0,0,0,0.0,3.09,0,2,0,2,0,1,0
IAG20210355,2023-1,Ingeniería Agroindustrial,2021,Regular,77.97,71.55,5.43,71.33,3,2,0,1,1,13.0,7.0,2,3,1,1,0,-19.25,11.9,1,0,1,0,3,0,0
IAG20210355,2024-1,Ingeniería Agroindustrial,2021,Regular,77.8,77.3,7.25,72.43,2,1,0,1,2,5.0,5.0,3,4,0,1,0,-0.67,2.88,0,1,0,1,3,1,0
IAG20210355,2025-1,Ingeniería Agroindustrial,2021,Regular,79.83,82.53,13.04,76.45,2,0,0,1,2,16.0,16.0,4,5,0,1,0,4.73,24.87,0,3,0,4,2,0,0
IAG20210361,2022-1,Ingeniería Agroindustrial,2021,Regular,81.9,81.9,2.54,81.39,0,0,0,0,1,14.0,7.0,1,2,0,0,1,0.0,6.79,0,2,0,2,0,0,1
IAG20210361,2022-2,Ingeniería Agroindustrial,2021,Regular,84.5,87.1,3.99,81.01,2,1,0,0,1,4.0,4.0,2,2,0,0,0,5.2,5.35,0,2,0,2,0,1,0
IAG20210361,2023-1,Ingeniería Agroindustrial,2021,Regular,88.67,97.0,6.16,82.76,2,0,0,0,1,6.0,6.0,3,2,0,0,0,12.5,6.95,0,2,0,2,2,1,0
IAG20210361,2023-2,Ingeniería Agroindustrial,2021,Regular,90.38,92.95,9.78,84.73,2,0,0,0,1,10.0,10.0,4,2,0,0,0,4.28,49.7,0,2,0,2,0,1,0
IAG20210386,2022-1,Ingeniería Agroindustrial,2021,Regular,83.4,83.4,1.81,75.63,0,0,0,0,1,5.0,5.0,1,2,0,0,0,0.0,8.16,0,0,0,0,1,0,0
IAG20210386,2022-2,Ingeniería Agroindustrial,2021,Regular,84.73,85.4,5.43,83.59,2,2,0,0,1,15.0,10.0,2,2,0,0,1,2.0,121.0,0,2,0,2,1,1,1
IAG20210386,2023-2,Ingeniería Agroindustrial,2021,Regular,82.14,78.25,9.42,82.44,1,0,0,0,1,11.0,11.0,3,3,0,0,0,-6.48,58.52,0,1,0,2,1,0,0
IAG20210386,2024-1,Ingeniería Agroindustrial,2021,Regular,84.57,96.7,10.87,82.24,1,0,0,0,1,4.0,4.0,4,3,0,0,0,14.56,3.74,0,1,0,1,1,0,0
IAG20210386,2024-2,Ingeniería Agroindustrial,2021,Regular,83.34,76.0,13.04,75.21,2,2,0,0,1,6.0,6.0,5,3,0,0,0,-8.57,9.36,0,1,0,1,2,0,0
IAG20220048,2022-2,Ingeniería Agroindustrial,2022,Irregular,71.4,71.4,2.54,83.54,1,0,0,0,0,7.0,7.0,1,1,0,0,0,0.0,6.39,0,2,0,2,2,0,0
IAG20220048,2023-2,Ingeniería Agroindustrial,2022,Irregular,71.3,71.2,4.71,75.66,2,2,0,0,1,6.0,6.0,2,2,0,0,0,-0.2,5.71,0,2,0,2,3,1,0
IAG20220048,2024-1,Ingeniería Agroindustrial,2022,Irregular,76.58,81.85,8.33,76.43,0,2,0,0,1,10.0,10.0,3,2,0,0,0,10.55,113.42,0,0,0,1,0,1,0
IAG20220062,2022-1,Ingeniería Agroindustrial,2022,Regular,77.9,77.9,2.17,78.98,1,0,0,0,0,12.0,6.0,1,0,0,0,1,0.0,6.78,0,0,0,0,2,1,1
IAG20220062,2022-2,Ingeniería Agroindustrial,2022,Regular,87.1,96.3,4.71,93.49,1,0,0,0,0,12.0,7.0,2,0,0,0,1,18.4,5.68,0,2,0,2,2,1,1
IAG20220062,2023-1,Ingeniería Agroindustrial,2022,Regular,86.12,85.15,9.42,87.58,1,2,0,0,0,13.0,13.0,3,0,0,0,0,-1.95,5.06,0,0,0,1,1,0,0
IAG20220062,2023-2,Ingeniería Agroindustrial,2022,Regular,86.38,87.4,10.87,84.37,1,0,0,0,0,4.0,4.0,4,0,0,0,0,1.28,7.47,0,0,0,0,0,1,0
IAG20220072,2022-1,Ingeniería Agroindustrial,2022,Irregular,82.85,82.85,4.35,88.64,0,0,0,0,0,12.0,12.0,1,0,0,0,0,0.0,0.2,0,2,0,2,0,0,0
IAG20220072,2022-2,Ingeniería Agroindustrial,2022,Irregular,84.4,87.5,6.52,88.44,1,2,0,0,0,6.0,6.0,2,0,0,0,0,4.65,9.29,0,2,0,2,1,1,0
IAG20220087,2022-1,Ingeniería Agroindustrial,2022,Regular,70.0,,0.0,79.36,0,1,0,0,0,6.0,0.0,1,0,0,0,1,,5.96,0,2,0,2,0,1,1
IAG20220087,2022-2,Ingeniería Agroindustrial,2022,Regular,82.4,82.4,2.17,81.49,1,2,0,0,0,6.0,6.0,2,0,0,0,0,0.0,2.37,0,1,0,1,0,1,0
IAG20220087,2024-1,Ingeniería Agroindustrial,2022,Regular,78.87,77.1,6.52,81.38,2,1,0,0,1,12.0,12.0,3,2,0,0,0,-5.3,0.01,0,1,0,2,2,0,0
IAG20220087,2024-2,Ingeniería Agroindustrial,2022,Regular,76.0,67.4,6.52,66.83,3,2,0,0,2,6.0,0.0,4,2,1,1,0,-11.47,7.83,2,2,2,2,2,1,0
IAG20220087,2025-1,Ingeniería Agroindustrial,2022,Regular,78.27,81.3,12.32,80.78,2,0,0,0,2,16.0,16.0,5,2,0,1,0,5.3,17.13,0,1,0,2,1,0,0
