id_estudiante,id_periodo,programa,cohorte,promedio_general,promedio_periodo,materias_aprobadas,materias_reprobadas,materias_en_curso,creditos_acumulados,porcentaje_avance,porcentaje_asistencia,faltas,retardos,num_tutorias,num_asesorias,num_incidencias,num_permisos,recursamientos,rezago_materias,estatus_academico,creditos_inscritos_periodo,creditos_aprobados_periodo,creditos_totales_plan,periodos_cursados,periodos_sin_inscripcion,materias_reprobadas_periodo,materias_reprobadas_acumuladas,materias_en_curso_periodo,tendencia_promedio,varianza_calificaciones,tutorias_abiertas,tutorias_cerradas,compromisos_pendientes,compromisos_cumplidos,permisos_aprobados,permisos_rechazados,bandera_dato_incompleto
IAG20200095,2022-1,Ingeniería Agroindustrial,2020,89.7,89.7,1,0,2,6.0,2.17,75.61,8,2,1,1,0,3,0,2,Regular,18.0,6.0,276,1,4,0,0,2,0.0,6.11,0,1,0,1,2,1,1
IAG20200095,2023-2,Ingeniería Agroindustrial,2020,89.8,89.85,3,0,0,17.0,6.16,74.12,10,3,3,1,0,4,0,3,Irregular,11.0,11.0,276,2,6,0,0,0,0.15,2.72,1,2,1,2,3,1,0
IAG20200095,2024-1,Ingeniería Agroindustrial,2020,90.17,91.3,4,0,0,23.0,8.33,74.39,7,3,1,0,0,2,0,3,Irregular,6.0,6.0,276,3,6,0,0,0,1.5,3.82,1,0,1,0,2,0,0
IAG20200097,2022-1,Ingeniería Agroindustrial,2020,70.0,,0,0,1,0.0,0.0,70.86,9,2,2,0,0,1,0,2,Regular,6.0,0.0,276,1,4,0,0,1,,8.03,0,2,0,2,1,0,1
IAG20200097,2022-2,Ingeniería Agroindustrial,2020,80.6,80.6,1,0,0,6.0,2.17,71.46,9,2,2,2,0,1,0,2,Regular,6.0,6.0,276,2,4,0,0,0,0.0,9.57,0,2,0,2,1,0,0
IAG20200097,2023-1,Ingeniería Agroindustrial,2020,84.1,87.6,2,0,0,10.0,3.62,78.98,5,1,1,1,0,2,0,2,Regular,4.0,4.0,276,3,4,0,0,0,7.0,9.29,0,1,0,1,2,0,0
IAG20200097,2023-2,Ingeniería Agroindustrial,2020,81.5,76.3,3,0,0,16.0,5.8,74.98,9,2,1,1,0,1,0,2,Regular,6.0,6.0,276,4,4,0,0,0,-7.8,5.28,0,1,0,1,1,0,0
IAG20200097,2024-1,Ingeniería Agroindustrial,2020,81.38,81.2,5,0,0,27.0,9.78,76.26,7,0,1,0,0,1,0,2,Regular,11.0,11.0,276,5,4,0,0,0,-0.3,90.25,0,1,0,2,1,0,0
IAG20200097,2024-2,Ingeniería Agroindustrial,2020,80.92,78.6,6,0,0,33.0,11.96,71.29,10,3,0,0,0,3,0,2,Regular,6.0,6.0,276,6,4,0,0,0,-2.78,4.54,0,0,0,0,3,0,0
IAG20200098,2022-2,Ingeniería Agroindustrial,2020,74.8,74.8,2,0,1,11.0,3.99,75.76,10,0,2,2,0,2,0,2,Regular,18.0,11.0,276,1,5,0,0,1,0.0,5.76,0,2,0,2,2,0,1
IAG20200098,2023-1,Ingeniería Agroindustrial,2020,75.97,78.3,3,0,0,18.0,6.52,69.36,9,2,0,0,0,4,0,2,Regular,7.0,7.0,276,2,5,0,0,0,3.5,3.36,0,0,0,0,3,1,0
IAG20200098,2023-2,Ingeniería Agroindustrial,2020,76.16,76.45,5,0,0,32.0,11.59,73.07,10,2,1,0,0,2,0,2,Regular,14.0,14.0,276,3,5,0,0,0,0.48,8.12,0,1,0,2,2,0,0
IAG20200098,2024-1,Ingeniería Agroindustrial,2020,77.7,80.27,8,0,0,46.0,16.67,76.73,9,0,2,0,0,2,0,2,Regular,14.0,14.0,276,4,5,0,0,0,4.11,35.31,0,2,0,3,2,0,0
IAG20200124,2022-2,Ingeniería Agroindustrial,2020,77.1,77.1,1,0,0,4.0,1.45,71.96,9,0,1,1,0,3,0,2,Irregular,4.0,4.0,276,1,5,0,0,0,0.0,8.06,0,1,0,1,3,0,0
IAG20200124,2023-1,Ingeniería Agroindustrial,2020,72.35,67.6,1,1,0,4.0,1.45,56.22,14,1,3,1,2,3,0,3,Irregular,5.0,0.0,276,2,5,1,1,0,-9.5,2.82,2,1,3,1,1,2,0
IAG20200124,2024-2,Ingeniería Agroindustrial,2020,71.45,70.55,2,2,0,11.0,3.99,56.22,15,3,3,3,2,2,0,5,Irregular,14.0,7.0,276,3,7,1,2,0,-1.8,11.22,2,1,3,1,1,1,0
IAG20200124,2025-1,Ingeniería Agroindustrial,2020,76.33,86.1,4,2,0,23.0,8.33,63.17,13,3,3,2,0,1,0,5,Irregular,12.0,12.0,276,4,7,0,2,0,14.65,19.36,1,2,1,2,1,0,0
IAG20200127,2023-1,Ingeniería Agroindustrial,2020,85.33,85.33,4,0,0,25.0,9.06,72.75,8,3,3,0,0,2,0,3,Irregular,25.0,25.0,276,1,6,0,0,0,0.0,9.49,1,2,1,3,1,1,0
IAG20200127,2024-1,Ingeniería Agroindustrial,2020,84.88,84.0,6,0,0,35.0,12.68,68.4,10,2,2,0,0,3,0,3,Irregular,10.0,10.0,276,2,7,0,0,0,-1.33,10.89,1,1,1,2,3,0,0
IAG20200127,2024-2,Ingeniería Agroindustrial,2020,81.66,75.2,9,0,0,49.0,17.75,69.14,11,3,3,1,0,3,0,3,Irregular,14.0,14.0,276,3,7,0,0,0,-9.68,1.82,1,2,1,3,2,1,0
IAG20200157,2022-1,Ingeniería Agroindustrial,2020,70.0,,0,0,1,0.0,0.0,66.78,9,2,2,2,0,3,0,2,Regular,4.0,0.0,276,1,4,0,0,1,,3.19,0,2,0,2,3,0,1
IAG20200157,2022-2,Ingeniería Agroindustrial,2020,77.3,77.3,2,0,0,10.0,3.62,70.54,10,0,2,2,0,2,0,2,Regular,10.0,10.0,276,2,4,0,0,0,0.0,7.29,0,2,0,2,2,0,0
IAG20200157,2023-1,Ingeniería Agroindustrial,2020,75.5,71.9,3,0,0,14.0,5.07,73.57,8,3,2,2,0,0,0,2,Regular,4.0,4.0,276,3,4,0,0,0,-5.4,2.86,0,2,0,2,0,0,0
IAG20200157,2023-2,Ingeniería Agroindustrial,2020,74.75,72.5,4,0,0,20.0,7.25,77.3,6,1,2,1,0,1,0,2,Regular,6.0,6.0,276,4,4,0,0,0,-3.0,8.49,0,2,0,2,1,0,0
IAG20200167,2022-2,Ingeniería Agroindustrial,2020,95.03,95.03,3,0,0,19.0,6.88,75.82,8,0,2,2,0,1,0,2,Regular,19.0,19.0,276,1,5,0,0,0,0.0,3.1,0,2,0,3,0,1,0
IAG20200171,2022-1,Ingeniería Agroindustrial,2020,76.8,76.8,1,0,0,5.0,1.81,69.93,10,1,2,2,0,3,0,2,Irregular,5.0,5.0,276,1,4,0,0,0,0.0,3.48,0,2,0,2,2,1,0
IAG20200171,2022-2,Ingeniería Agroindustrial,2020,75.7,74.6,2,0,0,10.0,3.62,69.73,9,3,1,2,0,3,0,2,Irregular,5.0,5.0,276,2,4,0,0,0,-2.2,6.75,0,1,0,1,3,0,0
IAG20200171,2023-2,Ingeniería Agroindustrial,2020,68.97,55.5,2,1,0,10.0,3.62,54.97,14,3,2,4,2,3,1,2,Irregular,5.0,0.0,276,3,5,1,1,0,-20.2,8.17,2,0,3,0,1,2,0
IAG20200171,2024-2,Ingeniería Agroindustrial,2020,73.57,87.4,3,1,0,14.0,5.07,71.87,10,1,1,0,0,2,1,3,Irregular,4.0,4.0,276,4,6,0,1,0,18.43,7.8,1,0,1,0,1,1,0
IAG20200171,2025-1,Ingeniería Agroindustrial,2020,69.1,51.2,3,2,0,14.0,5.07,53.29,16,3,4,4,2,5,1,4,Irregular,5.0,0.0,276,5,6,1,2,0,-22.37,4.93,3,1,3,1,4,1,0
IAG20200194,2022-1,Ingeniería Agroindustrial,2020,79.2,79.2,1,0,0,5.0,1.81,72.18,10,2,1,1,0,1,0,2,Regular,5.0,5.0,276,1,4,0,0,0,0.0,4.45,0,1,0,1,1,0,0
IAG20200194,2022-2,Ingeniería Agroindustrial,2020,87.85,96.5,2,0,0,11.0,3.99,80.2,6,1,1,1,0,2,0,2,Regular,6.0,6.0,276,2,4,0,0,0,17.3,6.26,0,1,0,1,2,0,0
IAG20200194,2023-2,Ingeniería Agroindustrial,2020,90.33,95.3,3,0,0,15.0,5.43,80.58,7,1,1,1,0,1,0,2,Regular,4.0,4.0,276,3,5,0,0,0,7.45,5.96,0,1,0,1,0,1,0
IAG20200249,2022-1,Ingeniería Agroindustrial,2020,70.0,,0,0,2,0.0,0.0,68.08,10,0,1,2,0,2,0,2,Regular,12.0,0.0,276,1,4,0,0,2,,8.97,0,1,0,1,1,1,1
IAG20200249,2023-1,Ingeniería Agroindustrial,2020,57.5,57.5,0,1,0,0.0,0.0,59.45,12,1,2,4,2,3,0,3,Irregular,4.0,0.0,276,2,5,1,1,0,0.0,7.13,2,0,3,0,2,1,0
IAG20200267,2022-1,Ingeniería Agroindustrial,2020,80.8,80.8,1,0,1,4.0,1.45,79.92,6,2,2,0,0,1,0,2,Regular,8.0,4.0,276,1,4,0,0,1,0.0,4.71,0,2,0,2,0,1,1
IAG20200267,2022-2,Ingeniería Agroindustrial,2020,80.8,,1,0,1,4.0,1.45,79.99,5,1,2,0,0,2,0,2,Regular,6.0,0.0,276,2,4,0,0,1,,8.75,0,2,0,2,1,1,1
IAG20200267,2023-1,Ingeniería Agroindustrial,2020,78.35,75.9,2,0,0,10.0,3.62,73.78,10,2,2,0,0,2,0,2,Regular,6.0,6.0,276,3,4,0,0,0,-4.9,4.18,0,2,0,2,2,0,0
IAG20200290,2022-2,Ingeniería Agroindustrial,2020,71.13,71.13,2,1,0,12.0,4.35,65.12,12,3,2,2,0,1,1,2,Regular,16.0,12.0,276,1,5,1,1,0,0.0,160.71,1,1,1,1,1,0,0
IAG20200290,2023-1,Ingeniería Agroindustrial,2020,66.48,61.83,3,3,0,17.0,6.16,53.32,15,4,4,5,2,2,1,4,Irregular,15.0,5.0,276,2,5,2,3,0,-9.3,216.4,3,1,3,1,1,1,0
IAG20200369,2022-1,Ingeniería Agroindustrial,2020,85.7,85.7,1,0,0,4.0,1.45,80.67,7,2,2,2,0,3,0,2,Regular,4.0,4.0,276,1,4,0,0,0,0.0,3.75,0,2,0,2,2,1,0
IAG20200369,2022-2,Ingeniería Agroindustrial,2020,87.0,88.3,2,0,0,9.0,3.26,77.72,7,0,2,0,0,2,0,2,Regular,5.0,5.0,276,2,4,0,0,0,2.6,7.05,0,2,0,2,1,1,0
IAG20200369,2024-1,Ingeniería Agroindustrial,2020,84.1,78.3,3,0,0,16.0,5.8,69.1,9,1,2,2,0,3,0,3,Irregular,7.0,7.0,276,3,6,0,0,0,-8.7,9.3,1,1,1,1,2,1,0
IAG20200369,2025-1,Ingeniería Agroindustrial,2020,83.3,82.5,6,0,0,33.0,11.96,69.23,8,1,4,0,0,2,0,3,Irregular,17.0,17.0,276,4,7,0,0,0,-1.6,131.55,1,3,1,4,1,1,0
IAG20200376,2022-1,Ingeniería Agroindustrial,2020,76.2,76.2,1,0,0,6.0,2.17,69.47,8,1,0,0,0,2,0,2,Irregular,6.0,6.0,276,1,4,0,0,0,0.0,8.54,0,0,0,0,1,1,0
IAG20200376,2022-2,Ingeniería Agroindustrial,2020,75.4,75.13,3,1,0,19.0,6.88,67.01,10,1,3,3,0,3,0,3,Irregular,20.0,13.0,276,2,4,1,1,0,-1.07,121.44,2,1,2,1,3,0,0
IAG20200376,2023-1,Ingeniería Agroindustrial,2020,74.82,72.5,4,1,0,26.0,9.42,68.9,9,3,2,2,0,3,0,3,Irregular,7.0,7.0,276,3,4,0,1,0,-2.9,8.5,1,1,1,1,2,1,0
IAG20210043,2022-1,Ingeniería Agroindustrial,2021,74.2,74.2,1,0,2,6.0,2.17,74.81,6,3,1,0,0,1,0,1,Regular,15.0,6.0,276,1,2,0,0,2,0.0,2.26,0,1,0,1,0,1,1
IAG20210043,2022-2,Ingeniería Agroindustrial,2021,81.95,89.7,2,0,0,12.0,4.35,86.17,4,1,2,0,0,3,0,1,Regular,6.0,6.0,276,2,2,0,0,0,15.5,2.09,0,2,0,2,2,1,0
IAG20210061,2022-1,Ingeniería Agroindustrial,2021,81.65,81.65,2,0,1,10.0,3.62,75.07,9,3,2,2,0,3,0,1,Regular,16.0,10.0,276,1,2,0,0,1,0.0,11.9,0,2,0,2,3,0,1
IAG20210083,2023-2,Ingeniería Agroindustrial,2021,54.15,54.15,0,2,0,0.0,0.0,55.4,13,2,4,5,2,2,2,2,Irregular,11.0,0.0,276,1,5,2,2,0,0.0,54.02,3,1,3,1,2,0,0
IAG20210083,2024-1,Ingeniería Agroindustrial,2021,60.67,73.7,1,2,0,7.0,2.54,67.86,9,1,2,1,0,3,2,2,Irregular,7.0,7.0,276,2,5,0,2,0,19.55,8.7,0,2,0,2,3,0,0
IAG20210083,2024-2,Ingeniería Agroindustrial,2021,59.85,57.4,1,3,0,7.0,2.54,59.45,12,3,3,4,2,2,2,3,Irregular,4.0,0.0,276,3,5,1,3,0,-3.27,8.24,2,1,3,1,1,1,0
IAG20210083,2025-1,Ingeniería Agroindustrial,2021,51.82,19.7,1,4,0,7.0,2.54,42.16,18,3,5,8,2,5,2,4,Irregular,6.0,0.0,276,4,5,1,4,0,-40.15,6.89,4,1,4,1,3,2,0
IAG20210108,2023-1,Ingeniería Agroindustrial,2021,71.7,71.7,1,0,0,6.0,2.17,74.25,10,2,1,0,0,3,0,2,Regular,6.0,6.0,276,1,4,0,0,0,0.0,4.36,0,1,0,1,3,0,0
IAG20210108,2023-2,Ingeniería Agroindustrial,2021,73.3,74.1,3,0,0,18.0,6.52,71.45,9,1,0,1,0,3,0,2,Regular,12.0,12.0,276,2,4,0,0,0,2.4,3.24,0,0,0,1,3,0,0
IAG20210108,2024-1,Ingeniería Agroindustrial,2021,74.93,79.8,4,0,0,25.0,9.06,77.09,7,3,2,1,0,0,0,2,Regular,7.0,7.0,276,3,4,0,0,0,6.5,3.33,0,2,0,2,0,0,0
IAG20210133,2022-1,Ingeniería Agroindustrial,2021,70.0,,0,0,2,0.0,0.0,76.15,8,1,2,2,0,1,0,1,Regular,10.0,0.0,276,1,2,0,0,2,,6.55,0,2,0,2,1,0,1
IAG20210133,2022-2,Ingeniería Agroindustrial,2021,76.35,76.35,2,0,0,10.0,3.62,74.77,6,0,2,2,0,1,0,1,Regular,10.0,10.0,276,2,2,0,0,0,0.0,14.82,0,2,0,2,1,0,0
IAG20210133,2023-1,Ingeniería Agroindustrial,2021,83.83,98.8,3,0,0,16.0,5.8,83.69,4,0,0,2,0,1,0,1,Regular,6.0,6.0,276,3,2,0,0,0,22.45,9.62,0,0,0,0,1,0,0
IAG20210138,2022-1,Ingeniería Agroindustrial,2021,79.1,79.1,2,0,0,10.0,3.62,84.03,3,2,2,1,0,1,0,1,Regular,10.0,10.0,276,1,2,0,0,0,0.0,37.21,0,2,0,2,1,0,0
IAG20210138,2022-2,Ingeniería Agroindustrial,2021,78.83,78.3,3,0,0,16.0,5.8,78.64,8,2,0,1,0,2,0,1,Regular,6.0,6.0,276,2,2,0,0,0,-0.8,7.24,0,0,0,0,2,0,0
IAG20210176,2022-1,Ingeniería Agroindustrial,2021,58.2,58.2,0,1,1,0.0,0.0,61.74,11,3,4,3,0,2,0,2,Irregular,13.0,0.0,276,1,2,1,1,1,0.0,3.89,2,2,2,2,1,1,1
IAG20210176,2022-2,Ingeniería Agroindustrial,2021,58.2,,0,1,1,0.0,0.0,70.17,10,0,3,3,0,3,0,2,Irregular,6.0,0.0,276,2,2,0,1,1,,4.54,1,2,1,2,2,1,1
IAG20210176,2023-1,Ingeniería Agroindustrial,2021,69.8,81.4,1,1,0,6.0,2.17,74.93,10,1,1,1,0,3,0,2,Irregular,6.0,6.0,276,3,2,0,1,0,23.2,7.9,0,1,0,1,3,0,0
IAG20210176,2023-2,Ingeniería Agroindustrial,2021,71.0,73.4,2,1,0,13.0,4.71,77.07,9,1,1,1,0,2,0,2,Regular,7.0,7.0,276,4,2,0,1,0,3.6,7.46,0,1,0,1,2,0,0
IAG20210176,2024-1,Ingeniería Agroindustrial,2021,62.05,53.1,2,4,0,13.0,4.71,44.95,18,4,5,5,2,3,0,5,Irregular,14.0,0.0,276,5,2,3,4,0,-17.9,34.46,5,0,5,0,2,1,0
IAG20210196,2022-1,Ingeniería Agroindustrial,2021,62.4,62.4,0,1,0,0.0,0.0,65.6,13,2,3,3,0,1,0,2,Irregular,6.0,0.0,276,1,2,1,1,0,0.0,6.38,2,1,2,1,1,0,0
IAG20210196,2022-2,Ingeniería Agroindustrial,2021,71.05,79.7,1,1,0,5.0,1.81,77.17,6,1,1,0,0,2,0,2,Irregular,5.0,5.0,276,2,2,0,1,0,17.3,9.78,0,1,0,1,2,0,0
IAG20210196,2023-1,Ingeniería Agroindustrial,2021,76.27,86.7,2,1,0,11.0,3.99,80.16,5,0,0,1,0,2,0,2,Irregular,6.0,6.0,276,3,2,0,1,0,15.65,9.5,0,0,0,0,2,0,0
IAG20210196,2023-2,Ingeniería Agroindustrial,2021,79.2,83.6,4,1,0,21.0,7.61,81.43,6,1,1,0,0,3,0,2,Irregular,10.0,10.0,276,4,2,0,1,0,7.33,23.04,0,1,0,2,2,1,0
IAG20210196,2024-1,Ingeniería Agroindustrial,2021,77.96,74.85,6,1,0,31.0,11.23,71.33,8,3,2,0,0,1,0,2,Irregular,10.0,10.0,276,5,2,0,1,0,-4.35,2.1,0,2,0,2,1,0,0
IAG20210215,2022-1,Ingeniería Agroindustrial,2021,65.9,65.9,0,1,2,0.0,0.0,66.01,9,2,4,4,0,2,0,2,Irregular,16.0,0.0,276,1,2,1,1,2,0.0,8.44,2,2,2,2,1,1,1
IAG20210238,2022-1,Ingeniería Agroindustrial,2021,74.1,74.1,1,0,0,8.0,2.9,81.13,6,2,1,2,0,3,0,1,Regular,8.0,8.0,276,1,2,0,0,0,0.0,5.18,0,1,0,1,2,1,0
IAG20210238,2022-2,Ingeniería Agroindustrial,2021,85.23,90.8,3,0,1,21.0,7.61,82.87,4,1,0,2,0,3,0,1,Regular,17.0,13.0,276,2,2,0,0,1,16.7,4.84,0,0,0,1,2,1,1
IAG20210238,2023-1,Ingeniería Agroindustrial,2021,83.17,77.0,4,0,0,26.0,9.42,78.46,8,2,2,0,0,2,0,1,Regular,5.0,5.0,276,3,2,0,0,0,-8.23,6.74,0,2,0,2,2,0,0
IAG20210238,2023-2,Ingeniería Agroindustrial,2021,81.3,73.8,5,0,0,33.0,11.96,81.45,4,0,0,2,0,2,0,1,Regular,7.0,7.0,276,4,2,0,0,0,-9.38,7.57,0,0,0,0,1,1,0
IAG20210238,2024-1,Ingeniería Agroindustrial,2021,80.6,77.1,6,0,0,38.0,13.77,78.49,6,1,2,2,0,1,0,1,Regular,5.0,5.0,276,5,2,0,0,0,-4.2,9.82,0,2,0,2,1,0,0
IAG20210238,2024-2,Ingeniería Agroindustrial,2021,79.43,72.4,7,0,0,44.0,15.94,76.09,7,3,2,0,0,2,0,1,Regular,6.0,6.0,276,6,2,0,0,0,-8.2,3.35,0,2,0,2,2,0,0
IAG20210315,2022-2,Ingeniería Agroindustrial,2021,82.2,82.2,1,0,0,4.0,1.45,82.64,7,0,0,2,0,3,0,1,Regular,4.0,4.0,276,1,3,0,0,0,0.0,4.22,0,0,0,0,2,1,0
IAG20210315,2023-1,Ingeniería Agroindustrial,2021,80.8,80.1,3,0,0,14.0,5.07,77.27,7,0,2,1,0,0,0,1,Regular,10.0,10.0,276,2,3,0,0,0,-2.1,0.25,0,2,0,2,0,0,0
IAG20210315,2023-2,Ingeniería Agroindustrial,2021,82.5,87.6,4,0,0,18.0,6.52,83.12,5,1,2,1,0,1,0,1,Regular,4.0,4.0,276,3,3,0,0,0,6.8,7.73,0,2,0,2,0,1,0
IAG20210316,2022-1,Ingeniería Agroindustrial,2021,76.85,76.85,2,0,0,12.0,4.35,78.17,8,2,0,2,0,1,0,1,Regular,12.0,12.0,276,1,2,0,0,0,0.0,0.06,0,0,0,1,0,1,0
IAG20210316,2022-2,Ingeniería Agroindustrial,2021,78.8,82.7,3,0,0,16.0,5.8,80.38,8,1,0,2,0,0,0,1,Regular,4.0,4.0,276,2,2,0,0,0,5.85,5.61,0,0,0,0,0,0,0
IAG20210339,2022-1,Ingeniería Agroindustrial,2021,71.6,71.6,1,0,1,5.0,1.81,72.66,8,1,0,2,0,3,0,1,Regular,11.0,5.0,276,1,2,0,0,1,0.0,4.99,0,0,0,0,2,1,1
IAG20210339,2023-1,Ingeniería Agroindustrial,2021,54.23,45.55,1,2,0,5.0,1.81,48.52,17,3,6,7,2,4,0,3,Irregular,10.0,0.0,276,2,3,2,2,0,-26.05,11.22,4,2,4,2,2,2,0
IAG20210339,2023-2,Ingeniería Agroindustrial,2021,58.18,64.1,2,3,0,11.0,3.99,60.29,13,3,2,2,0,4,0,4,Irregular,10.0,6.0,276,3,3,1,3,0,9.87,121.0,2,0,2,0,3,1,0
IAG20210339,2024-1,Ingeniería Agroindustrial,2021,58.35,59.2,2,4,0,11.0,3.99,56.82,14,1,2,3,2,4,1,4,Irregular,6.0,0.0,276,4,3,1,4,0,1.02,2.24,2,0,3,0,2,2,0
IAG20210339,2024-2,Ingeniería Agroindustrial,2021,59.09,63.5,2,5,0,11.0,3.99,63.41,11,1,4,2,0,2,2,4,Irregular,6.0,0.0,276,5,3,1,5,0,5.15,7.65,2,2,2,2,2,0,0
IAG20210345,2022-1,Ingeniería Agroindustrial,2021,70.0,,0,0,1,0.0,0.0,71.11,11,2,1,1,0,4,0,1,Regular,8.0,0.0,276,1,2,0,0,1,,3.31,0,1,0,1,3,1,1
IAG20210345,2023-1,Ingeniería Agroindustrial,2021,82.4,82.4,1,0,0,6.0,2.17,82.38,6,1,2,0,0,1,0,1,Regular,6.0,6.0,276,2,3,0,0,0,0.0,7.74,0,2,0,2,0,1,0
IAG20210345,2023-2,Ingeniería Agroindustrial,2021,83.35,84.3,2,0,0,10.0,3.62,77.45,7,0,2,1,0,1,0,1,Regular,4.0,4.0,276,3,3,0,0,0,1.9,5.45,0,2,0,2,1,0,0
IAG20210355,2022-2,Ingeniería Agroindustrial,2021,90.8,90.8,1,0,0,8.0,2.9,83.48,4,1,2,0,0,1,0,1,Regular,8.0,8.0,276,1,3,0,0,0,0.0,3.09,0,2,0,2,0,1,0
IAG20210355,2023-1,Ingeniería Agroindustrial,2021,77.97,71.55,2,1,0,15.0,5.43,71.33,10,3,1,2,0,3,1,1,Regular,13.0,7.0,276,2,3,1,1,0,-19.25,11.9,1,0,1,0,3,0,0
IAG20210355,2024-1,Ingeniería Agroindustrial,2021,77.8,77.3,3,1,0,20.0,7.25,72.43,11,2,1,1,0,4,1,2,Regular,5.0,5.0,276,3,4,0,1,0,-0.67,2.88,0,1,0,1,3,1,0
IAG20210355,2025-1,Ingeniería Agroindustrial,2021,79.83,82.53,6,1,0,36.0,13.04,76.45,7,2,3,0,0,2,1,2,Regular,16.0,16.0,276,4,5,0,1,0,4.73,24.87,0,3,0,4,2,0,0
IAG20210361,2022-1,Ingeniería Agroindustrial,2021,81.9,81.9,1,0,1,7.0,2.54,81.39,6,0,2,0,0,0,0,1,Regular,14.0,7.0,276,1,2,0,0,1,0.0,6.79,0,2,0,2,0,0,1
