id_estudiante,id_periodo,programa,cohorte,estatus_academico,cluster,distance_to_centroid,membership_score,promedio_general,porcentaje_asistencia,materias_reprobadas_acumuladas,rezago_materias,tendencia_promedio,perfil_academico,criterio_outlier
IBM20200056,Septiembre-Diciembre 2022,Ingeniería Biomédica,2020,Irregular,0,6.928827810043698,0.1261220477928992,70.0,62.43,0,4,,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IAG20220232,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2022,Regular,0,6.870009687373498,0.127064646642606,80.39,73.41,0,1,-0.77,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20240308,Septiembre-Diciembre 2023,Ingeniería en Energía,2024,Regular,0,6.766722734806857,0.1287544353190906,80.66,81.7,1,0,-7.0,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IAG20240277,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2024,Regular,0,6.745346204446568,0.1291097871681842,80.56,81.82,0,0,-2.5,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IDS20220005,Mayo-Agosto 2023,Ingeniería en Desarrollo de Software,2022,Irregular,0,6.705916278215883,0.1297704210499839,52.5,67.46,2,1,31.6,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20240275,Septiembre-Diciembre 2023,Ingeniería en Energía,2024,Regular,0,6.625245905227615,0.1311433116293906,79.66,76.67,1,0,-1.18,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IAG20230261,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2023,Regular,0,6.525467663434552,0.1328821070960006,77.76,73.59,1,0,-4.62,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20200178,Septiembre-Diciembre 2023,Ingeniería en Energía,2020,Irregular,0,6.495462150328864,0.1334140550567819,79.57,61.94,1,4,-3.4,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20210318,Septiembre-Diciembre 2023,Ingeniería en Energía,2021,Irregular,0,6.421858487414656,0.1347371418756789,90.09,75.19,0,3,0.89,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20220173,Septiembre-Diciembre 2023,Ingeniería en Energía,2022,Regular,0,6.327367781067966,0.1364746563675625,79.6,73.48,1,1,-11.2,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IBM20220218,Septiembre-Diciembre 2023,Ingeniería Biomédica,2022,Baja Temporal,0,6.317185601884511,0.1366645667348459,82.19,43.33,1,1,1.59,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IAG20200039,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,0,6.289314811606393,0.137187105488674,87.89,68.23,0,4,0.61,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20210139,Septiembre-Diciembre 2023,Ingeniería en Energía,2021,Regular,0,6.278538059225195,0.1373902275241315,79.06,70.5,0,2,-12.03,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IBM20200260,Septiembre-Diciembre 2022,Ingeniería Biomédica,2020,Irregular,0,6.179458087216258,0.1392862786929002,70.0,61.36,0,4,,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20220241,Septiembre-Diciembre 2022,Ingeniería en Energía,2022,Regular,0,6.1686117714721975,0.1394970228377471,70.0,78.85,0,1,,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20220200,Septiembre-Diciembre 2023,Ingeniería en Energía,2022,Baja Temporal,0,6.121582159613111,0.1404182353846952,83.7,45.95,0,1,0.0,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IAG20220087,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2022,Regular,0,6.078539352833432,0.1412720831451922,78.27,67.58,1,1,-4.82,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20220015,Septiembre-Diciembre 2023,Ingeniería en Energía,2022,Regular,0,6.040946123471042,0.1420263672614243,80.17,69.23,1,1,-15.32,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20210271,Septiembre-Diciembre 2023,Ingeniería en Energía,2021,Regular,0,6.015323391336124,0.1425451036562324,78.33,75.87,0,2,-2.27,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IDS20200012,Septiembre-Diciembre 2023,Ingeniería en Desarrollo de Software,2020,Irregular,0,6.013653210774425,0.1425790483144779,81.03,66.53,1,4,9.85,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IBM20240190,Septiembre-Diciembre 2022,Ingeniería Biomédica,2024,Regular,0,5.899321472268893,0.1449417894236986,98.6,90.7,0,0,0.0,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IAG20200369,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,0,5.728501746688593,0.1486214966789815,83.3,65.65,0,4,-5.55,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20210045,Septiembre-Diciembre 2023,Ingeniería en Energía,2021,Regular,0,5.710201666700679,0.1490268176234541,78.71,69.96,0,2,-5.69,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20200163,Septiembre-Diciembre 2022,Ingeniería en Energía,2020,Irregular,0,5.708760523452631,0.1490588308383013,70.0,58.11,0,4,,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IDS20200099,Septiembre-Diciembre 2022,Ingeniería en Desarrollo de Software,2020,Irregular,0,5.660545981674348,0.1501378419654145,70.0,62.59,0,4,,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20230016,Septiembre-Diciembre 2023,Ingeniería en Energía,2023,Regular,0,5.641883323353831,0.1505597059321795,76.44,73.92,1,0,0.4,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IBM20210049,Septiembre-Diciembre 2023,Ingeniería Biomédica,2021,Irregular,0,5.618377186461886,0.1510944408012184,78.06,63.96,1,3,1.7,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20220220,Septiembre-Diciembre 2023,Ingeniería en Energía,2022,Regular,0,5.603905542678088,0.1514255456165215,78.03,75.26,0,1,-2.84,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20200143,Septiembre-Diciembre 2022,Ingeniería en Energía,2020,Irregular,0,5.598980730188315,0.1515385543445075,70.0,59.58,0,4,,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IAG20220258,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2022,Regular,0,5.58282836727165,0.1519103862667567,77.41,69.99,1,0,-7.45,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IDS20230199,Septiembre-Diciembre 2023,Ingeniería en Desarrollo de Software,2023,Regular,0,5.555921804088261,0.1525338510560638,88.03,81.8,0,0,-6.35,Regular / seguimiento preventivo,distancia al centroide en el percentil 95 o superior de su cluster
IEN20240366,Septiembre-Diciembre 2023,Ingeniería en Energía,2024,Irregular,1,12.459879556220583,0.074294869862921,52.43,34.32,6,0,0.0,Riesgo academico moderado,distancia al centroide en el percentil 95 o superior de su cluster
IAG20210083,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2021,Irregular,1,10.08299334482417,0.0902283317229461,51.82,27.11,4,4,0.0,Riesgo academico moderado,distancia al centroide en el percentil 95 o superior de su cluster
IDS20210327,Enero-Abril 2023,Ingeniería en Desarrollo de Software,2021,Irregular,1,9.764133086288146,0.0929011181842267,57.35,54.26,3,1,-21.8,Riesgo academico moderado,distancia al centroide en el percentil 95 o superior de su cluster
IDS20220005,Septiembre-Diciembre 2023,Ingeniería en Desarrollo de Software,2022,Irregular,1,9.65913184714235,0.0938162708127204,57.1,50.75,6,0,6.13,Riesgo academico moderado,distancia al centroide en el percentil 95 o superior de su cluster
IDS20200152,Mayo-Agosto 2023,Ingeniería en Desarrollo de Software,2020,Irregular,1,9.424128403267238,0.0959312818601284,58.16,31.78,5,2,-11.22,Riesgo academico moderado,distancia al centroide en el percentil 95 o superior de su cluster
IEN20200165,Septiembre-Diciembre 2022,Ingeniería en Energía,2020,Baja Temporal,1,8.786822569867425,0.1021782087966826,60.42,12.0,3,3,0.0,Riesgo academico moderado,distancia al centroide en el percentil 95 o superior de su cluster
IBM20230257,Septiembre-Diciembre 2023,Ingeniería Biomédica,2023,Irregular,1,8.033004815736248,0.110705133053612,64.38,76.07,3,0,4.95,Riesgo academico moderado,distancia al centroide en el percentil 95 o superior de su cluster
IEN20200165,Septiembre-Diciembre 2023,Ingeniería en Energía,2020,Baja Temporal,1,7.934333352649536,0.1119277690375682,62.16,22.51,5,1,-12.48,Riesgo academico moderado,distancia al centroide en el percentil 95 o superior de su cluster
IAG20220113,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2022,Irregular,1,7.530286882104328,0.1172293515822894,58.42,50.81,7,0,-2.81,Riesgo academico moderado,distancia al centroide en el percentil 95 o superior de su cluster
IEN20200112,Mayo-Agosto 2023,Ingeniería en Energía,2020,Irregular,1,7.257149156732886,0.1211071740401587,64.48,53.33,4,3,-6.77,Riesgo academico moderado,distancia al centroide en el percentil 95 o superior de su cluster
